date,symbol,exdate,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,index_flag,issuer,exercise_style
2023-08-31,SPX 230915C1000000,2023-09-15,C,1000000,3504,3517.2,0,2.798833,146902959,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C1200000,2023-09-15,C,1200000,3304.5,3317.7,0,2.494569,146902960,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C1400000,2023-09-15,C,1400000,3105,3118.2,0,2.235759,146902961,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C1500000,2023-09-15,C,1500000,3005.2,3018.4,0,2.110526,149952083,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C1600000,2023-09-15,C,1600000,2905.5,2918.7,0,2.009696,146902962,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C1700000,2023-09-15,C,1700000,2805.7,2818.9,0,1.898968,146902963,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C1800000,2023-09-15,C,1800000,2706,2719.2,0,1.808297,146902964,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C1900000,2023-09-15,C,1900000,2606.2,2619.4,0,1.70883,146902965,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C200000,2023-09-15,C,200000,4302.1,4315.2,20,5.600275,146902966,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C2000000,2023-09-15,C,2000000,2506.5,2519.7,0,1.626092,146902967,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C2100000,2023-09-15,C,2100000,2406.7,2419.9,0,1.535598,146902968,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C2150000,2023-09-15,C,2150000,2356.8,2370.1,0,1.497119,150208877,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C2200000,2023-09-15,C,2200000,2307,2320.2,1,1.459199,146902969,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C2250000,2023-09-15,C,2250000,2257.1,2270.3,0,1.417164,149952084,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C2300000,2023-09-15,C,2300000,2207.2,2220.4,0,1.375997,146902970,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C2350000,2023-09-15,C,2350000,2157.3,2170.6,0,1.340147,149466553,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C2400000,2023-09-15,C,2400000,2107.5,2120.7,0,1.304752,146902971,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C2450000,2023-09-15,C,2450000,2057.6,2070.8,0,1.265797,149348452,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C2500000,2023-09-15,C,2500000,2007.7,2021,0,1.231491,146902972,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C2525000,2023-09-15,C,2525000,1982.1,1996,0,1.183778,150042921,1,CBOE S&P 500 INDEX,E
2023-08-31,SPX 230915C2550000,2023-09-15,C,2550000,1957.8,1971.1,0,1.19387,148821268,1,CBOE S&P 500 INDEX,E
